,Google Places ID,Review Count,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
444,ChIJ95TA-qtZwokRmln05qwFTTk,5,0.04,0.04981203007518797,0.0,0.0125,0.025,0.04,0.1,0.0,0.0125,0.0375
445,ChIJ973UTItbwokRARHl1VO8YFw,1,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0
446,ChIJ97A-Hdj1wokRA5pUhXTglHk,1,0.03389830508474576,0.0847457627118644,0.05084745762711865,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.1016949152542373,0.0,0.03389830508474576,0.06779661016949153
447,ChIJ98JZgxBawokRVmlIIXOUdjg,15,0.011890324781950398,0.04736849424052571,0.010815990249487787,0.017851038397836427,0.03520904987440212,0.04694170851940501,0.10740280437798029,0.020052401621367136,0.025678614821527106,0.05489975773404976
448,ChIJ98Or2Xb2wokR8l8uaGHDt9M,1,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.0,0.0
449,ChIJ98vfUK9gwokRDO7hbBBaNss,1,0.0,0.07407407407407407,0.07407407407407407,0.0,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.037037037037037035
450,ChIJ99lwRb9YwokRqeMnUQavgBk,1,0.0,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.0,0.13043478260869565
451,ChIJ99xlnYFcwokR4XFxMaOYbu4,2,0.041666666666666664,0.020833333333333332,0.0625,0.08333333333333333,0.038461538461538464,0.10416666666666667,0.11538461538461539,0.0625,0.0,0.038461538461538464
452,ChIJ9Q5NRnQ-3YkRNbclVZ1W-7Y,1,0.0,0.10526315789473684,0.0,0.0,0.07894736842105263,0.0,0.21052631578947367,0.0,0.02631578947368421,0.07894736842105263
453,ChIJ9QbHHTRfwokRMWBJEjz0mK0,1,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
454,ChIJ9Qzb_Z5ZwokRqmhZg1ogJMc,1,0.0,0.03508771929824561,0.0,0.0,0.03508771929824561,0.017543859649122806,0.08771929824561403,0.0,0.0,0.10526315789473684
455,ChIJ9So8aW1bwokR0G36AJZvVAo,1,0.021739130434782608,0.043478260869565216,0.010869565217391304,0.043478260869565216,0.0,0.10869565217391304,0.07608695652173914,0.05434782608695652,0.010869565217391304,0.03260869565217391
456,ChIJ9U_tAfZYwokRykGbQsGlY60,1,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666
457,ChIJ9UmAOV7zwokR6RNXTDX-V-8,1,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.0,0.08333333333333333
458,ChIJ9VJ3PChcwokROyB26Z0DukU,1,0.0,0.125,0.0,0.0,0.25,0.0,0.25,0.0,0.125,0.125
459,ChIJ9YoxGTVbwokRbbJ3Up_CIWk,1,0.0,0.025,0.0,0.0,0.025,0.0,0.125,0.0,0.025,0.025
460,ChIJ9ZR2-UxawokRhRX55GHYSAI,3,0.009259259259259259,0.021604938271604937,0.004629629629629629,0.021604938271604937,0.038580246913580245,0.018518518518518517,0.19444444444444442,0.013888888888888888,0.021604938271604937,0.040123456790123455
461,ChIJ9ZtbjOxZwokR79gdYzZmupE,1,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464
462,ChIJ9_1ai-hYwokRQOwTlb4wNIU,1,0.02830188679245283,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.14150943396226415,0.018867924528301886,0.009433962264150943,0.05660377358490566
463,ChIJ9aQoo3L2wokR-0daKoUkZn4,1,0.05555555555555555,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.027777777777777776,0.06944444444444445,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.05555555555555555
464,ChIJ9aTsk0dfwokRKa38NpNkVJM,1,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0
465,ChIJ9bFgUBNbwokRbFtL7hbzOwk,1,0.0,0.04878048780487805,0.0,0.024390243902439025,0.04878048780487805,0.0975609756097561,0.1951219512195122,0.07317073170731707,0.0,0.07317073170731707
466,ChIJ9c2Le3tcwokRhBahcom9Ipc,1,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.24242424242424243,0.030303030303030304,0.0,0.09090909090909091
467,ChIJ9cYdWhxawokRz6q7bxSzCn4,10,0.01705048806333431,0.017976119752620416,0.01657000758285383,0.024055387699812893,0.023149461913052945,0.061484049009181585,0.12629127955312747,0.021996572456163828,0.016070128359042132,0.039729310518657426
468,ChIJ9d2JH61EwokR81Bk01n9hkY,1,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456
469,ChIJ9d2XRaVYwokRc0SgV7mKzHY,1,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0
470,ChIJ9dBpE4VYwokRrN0JIOc0prk,1,0.05434782608695652,0.010869565217391304,0.043478260869565216,0.05434782608695652,0.0,0.07608695652173914,0.06521739130434782,0.043478260869565216,0.010869565217391304,0.021739130434782608
471,ChIJ9dSZro5YwokRjvOYhzyU-Xk,1,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0
